Station Name,Latitude (deg),Longitude (deg),Elevation (ft),Year,Month,Day,Max Temp (F),Min Temp (F),Rainfall (in),Corn GDD (F),Corn AGDD (F),Delta GDD (5yr)
Eldred,47.688,-96.822,861,2017,5,15,80.15,48.11,0.0,,,
Eldred,47.688,-96.822,861,2017,5,16,64.598,48.974,0.0,7.0,7.0,-3.0
Eldred,47.688,-96.822,861,2017,5,17,60.242,45.306999999999995,0.0,5.0,12.0,-11.0
Eldred,47.688,-96.822,861,2017,5,18,63.428000000000004,35.281,0.0,7.0,19.0,-15.0
Eldred,47.688,-96.822,861,2017,5,19,63.013999999999996,31.365,0.0,7.0,26.0,-17.0
Eldred,47.688,-96.822,861,2017,5,20,52.97,40.779,0.27,1.0,27.0,-25.0
Eldred,47.688,-96.822,861,2017,5,21,51.71,36.664,0.13,1.0,28.0,-34.0
Eldred,47.688,-96.822,861,2017,5,22,54.104,44.373000000000005,0.09,2.0,30.0,-47.0
Eldred,47.688,-96.822,861,2017,5,23,59.198,39.459,0.03,5.0,35.0,-56.0
Eldred,47.688,-96.822,861,2017,5,24,68.558,33.676,0.0,9.0,44.0,-61.0
Eldred,47.688,-96.822,861,2017,5,25,70.628,44.19,0.0,10.0,54.0,-64.0
Eldred,47.688,-96.822,861,2017,5,26,70.88,45.56100000000001,0.0,10.0,64.0,-67.0
Eldred,47.688,-96.822,861,2017,5,27,76.748,44.718999999999994,0.0,13.0,77.0,-68.0
Eldred,47.688,-96.822,861,2017,5,28,67.73,47.246,0.14,9.0,86.0,-75.0
Eldred,47.688,-96.822,861,2017,5,29,58.352,46.222,0.07,4.0,90.0,-83.0
Eldred,47.688,-96.822,861,2017,5,30,65.858,44.836000000000006,0.0,8.0,98.0,-89.0
Eldred,47.688,-96.822,861,2017,5,31,76.658,45.059,0.0,13.0,111.0,-87.0
Eldred,47.688,-96.822,861,2017,6,1,83.912,40.838,0.0,17.0,128.0,-80.0
Eldred,47.688,-96.822,861,2017,6,2,93.30799999999999,56.75,0.15,21.0,149.0,-71.0
Eldred,47.688,-96.822,861,2017,6,3,84.686,60.224,0.0,22.0,171.0,-60.0
Eldred,47.688,-96.822,861,2017,6,4,81.518,54.788000000000004,0.0,18.0,189.0,-56.0
Eldred,47.688,-96.822,861,2017,6,5,84.074,51.152,0.0,18.0,207.0,-53.0
Eldred,47.688,-96.822,861,2017,6,6,88.88,53.15,0.0,20.0,227.0,-46.0
Eldred,47.688,-96.822,861,2017,6,7,78.44,57.992,0.58,18.0,245.0,-42.0
Eldred,47.688,-96.822,861,2017,6,8,79.46600000000001,52.718,0.0,16.0,261.0,-43.0
Eldred,47.688,-96.822,861,2017,6,9,81.69800000000001,52.376000000000005,0.13,17.0,278.0,-43.0
Eldred,47.688,-96.822,861,2017,6,10,79.82600000000001,55.418,0.0,18.0,296.0,-41.0
Eldred,47.688,-96.822,861,2017,6,11,84.164,54.698,0.0,19.0,315.0,-36.0
Eldred,47.688,-96.822,861,2017,6,12,77.954,51.943999999999996,0.0,15.0,330.0,-35.0
Eldred,47.688,-96.822,861,2017,6,13,73.88600000000001,57.343999999999994,0.28,16.0,346.0,-35.0
Eldred,47.688,-96.822,861,2017,6,14,78.296,57.308,0.71,18.0,364.0,-34.0
Eldred,47.688,-96.822,861,2017,6,15,75.902,59.63,0.0,18.0,382.0,-31.0
Eldred,47.688,-96.822,861,2017,6,16,79.646,55.04,0.01,17.0,399.0,-28.0
Eldred,47.688,-96.822,861,2017,6,17,69.476,53.402,0.02,11.0,410.0,-34.0
Eldred,47.688,-96.822,861,2017,6,18,69.72800000000001,52.448,0.01,11.0,421.0,-39.0
Eldred,47.688,-96.822,861,2017,6,19,72.66199999999999,50.99,0.24,12.0,433.0,-45.0
Eldred,47.688,-96.822,861,2017,6,20,71.618,47.083999999999996,0.02,11.0,444.0,-50.0
Eldred,47.688,-96.822,861,2017,6,21,84.61399999999999,49.118,0.02,17.0,461.0,-51.0
Eldred,47.688,-96.822,861,2017,6,22,77.09,48.092,0.0,14.0,475.0,-54.0
Eldred,47.688,-96.822,861,2017,6,23,66.704,52.88,0.0,10.0,485.0,-62.0
Eldred,47.688,-96.822,861,2017,6,24,59.882,42.994,0.01,5.0,490.0,-75.0
Eldred,47.688,-96.822,861,2017,6,25,67.388,41.461000000000006,0.0,9.0,499.0,-85.0
Eldred,47.688,-96.822,861,2017,6,26,74.156,40.285,0.0,12.0,511.0,-93.0
Eldred,47.688,-96.822,861,2017,6,27,78.476,41.443000000000005,0.0,14.0,525.0,-100.0
Eldred,47.688,-96.822,861,2017,6,28,66.542,57.992,1.7919999999999998,12.0,537.0,-107.0
Eldred,47.688,-96.822,861,2017,6,29,76.028,57.56,0.0,17.0,554.0,-109.0
Eldred,47.688,-96.822,861,2017,6,30,70.79,52.358000000000004,0.0,12.0,566.0,-113.0
Eldred,47.688,-96.822,861,2017,7,1,71.294,51.368,0.04,11.0,577.0,-118.0
Eldred,47.688,-96.822,861,2017,7,2,72.806,46.742,0.0,11.0,588.0,-125.0
Eldred,47.688,-96.822,861,2017,7,3,80.672,51.152,0.0,16.0,604.0,-130.0
Eldred,47.688,-96.822,861,2017,7,4,91.274,58.604,0.22,22.0,626.0,-131.0
Eldred,47.688,-96.822,861,2017,7,5,85.766,65.336,0.0,26.0,652.0,-126.0
Eldred,47.688,-96.822,861,2017,7,6,82.22,59.522,0.0,21.0,673.0,-124.0
Eldred,47.688,-96.822,861,2017,7,7,77.27,55.903999999999996,0.0,17.0,690.0,-125.0
Eldred,47.688,-96.822,861,2017,7,8,84.488,50.306000000000004,0.0,17.0,707.0,-126.0
Eldred,47.688,-96.822,861,2017,7,9,82.706,62.438,0.04,23.0,730.0,-120.0
Eldred,47.688,-96.822,861,2017,7,10,81.86,61.79,0.01,22.0,752.0,-118.0
Eldred,47.688,-96.822,861,2017,7,11,85.478,61.141999999999996,0.32,23.0,775.0,-116.0
Eldred,47.688,-96.822,861,2017,7,12,68.486,54.986000000000004,0.01,12.0,787.0,-127.0
Eldred,47.688,-96.822,861,2017,7,13,71.834,52.412,0.0,12.0,799.0,-136.0
