Station Name,Latitude (deg),Longitude (deg),County
Eldred,47.688,-96.822,"Polk, MN"
Perley,47.179,-96.68,"Norman, MN"
Humboldt,48.884,-97.15,"Kittson, MN"
Stephen,48.45675,-96.853953,"Marshall, MN"
Warren,48.137,-96.839,"Polk, MN"
Brorson,47.782,-104.248,"Richland, MT"
Sidney,47.729819,-104.152406,"Richland, MT"
Baker,48.167,-99.648,"Benson, ND"
Beach,46.789,-103.966,"Golden Valley, ND"
Bottineau,48.821,-100.76,"Bottineau, ND"
Bowman,46.19969,-103.47305,"Bowman, ND"
Cando,48.471903,-99.166057,"Towner, ND"
Carrington,47.509,-99.132,"Foster, ND"
Cavalier,48.844273,-97.644273,"Pembina, ND"
Crary,48.05,-98.606,"Ramsey, ND"
Dazey,47.183,-98.138,"Barnes, ND"
Dickinson,46.895,-102.813,"Stark, ND"
Edgeley,46.319216,-98.766055,"LaMoure, ND"
Fargo,46.897,-96.812,"Cass, ND"
Forest River,48.296,-97.603,"Walsh, ND"
Galesburg,47.21,-97.431,"Cass, ND"
Grand Forks,47.83633,-97.066838,"Grand Forks, ND"
Harvey,47.730459,-99.91937,"Wells, ND"
Hazen,47.302,-101.679,"Mercer, ND"
Hettinger,46.011,-102.643,"Adams, ND"
Hillsboro,47.353,-96.922,"Traill, ND"
Hofflund,48.1647,-103.1086,"Williams, ND"
Jamestown,46.906,-98.927,"Stutsman, ND"
Langdon,48.759878,-98.344569,"Cavalier, ND"
Linton,46.328,-100.277,"Emmons, ND"
Mandan,46.774,-100.914,"Morton, ND"
Mayville,47.498,-97.262,"Traill, ND"
McHenry,47.685,-98.623,"Eddy, ND"
Minot,48.18,-101.293,"Ward, ND"
Mohall,48.76383333,-101.5336167,"Renville, ND"
Oakes,46.073734,-98.093426,"Dickey, ND"
Prosper,47.002,-97.115,"Cass, ND"
Robinson,47.173,-99.798,"Kidder, ND"
Rolla,48.843,-99.614,"Rolette, ND"
St. Thomas,48.601,-97.493,"Pembina, ND"
Streeter,46.715063,-99.450434,"Kidder, ND"
Turtle Lake,47.568,-100.915,"McLean, ND"
Watford City,47.81042,-103.23217,"McKenzie, ND"
Williston,48.133,-103.739,"Williams, ND"
Mooreton,46.224074,-96.894987,"Richland, ND"
Berthold,48.38,-101.822,"Ward, ND"
Wishek,46.26,-99.666,"McIntosh, ND"
Bowbells,48.817,-102.239,"Burke, ND"
Karlsruhe,48.123,-100.625,"McHenry, ND"
Sabin,46.794389,-96.611683,"Clay, MN"
Roseau,48.685,-95.734,"Roseau, MN"
Fingal,46.746,-97.911,"Barnes, ND"
Wahpeton,46.355,-96.666,"Richland, ND"
Pillsbury,47.225,-97.791,"Barnes, ND"
Crosby,48.807152,-103.311735,"Divide, ND"
Ross,48.27014,-102.480872,"Mountrail, ND"
Plaza,47.862,-101.958,"Mountrail, ND"
Tappen,46.881,-99.58,"Kidder, ND"
Mott,46.38,-102.322,"Hettinger, ND"
Greenbush,48.704,-96.325,"Roseau, MN"
Mavie,48.121,-95.971,"Pennington, MN"
Leonard,46.732,-97.241,"Cass, ND"
Michigan,48.019,-98.172,"Nelson, ND"
Rugby,48.354,-100.063,"Pierce, ND"
Ekre,46.540042,-97.140927,"Richland, ND"
Lisbon,46.444766,-97.721064,"Ransom, ND"
Grafton,48.4123,-97.186,"Walsh, ND"
Ada,47.3211,-96.5139,"Norman, MN"
Marion,46.5645,-98.3276,"LaMoure, ND"
Inkster,48.1664,-97.7104,"Grand Forks, ND"
Dunn,47.3416,-102.6308,"Dunn, ND"
Kennedy,48.636709,-97.041117,"Kittson, MN"
Garrison,47.710256,-101.679546,"McLean, ND"
Brampton,45.984106,-97.82076,"Sargent, ND"
Cooperstown,47.442811,-98.177288,"Griggs, ND"
Finley,47.52638,-97.847264,"Steele, ND"
Campbell,46.064932,-96.370165,"Wilkin, MN"
Pekin,47.807624,-98.310573,"Nelson, ND"
Fort Yates,46.084858,-100.676495,"Sioux, ND"
Froid,48.25793,-104.496673,"Roosevelt, MT"
Ulen,47.050473,-96.108432,"Becker, MN"
Waukon,47.325859,-96.132504,"Norman, MN"
Fox,48.877738,-95.85016,"Roseau, MN"
Williams,48.858454,-94.980897,"Lake of the Woods, MN"
Carson,46.44303,-101.373829,"Grant, ND"
Edmore,48.420564,-98.512766,"Ramsey, ND"
Alamo,48.54651,-103.471843,"Williams, ND"
Dagmar,48.555903,-104.346503,"Sheridan, MT"
Redstone,48.821094,-104.842003,"Sheridan, MT"
Dooley,48.833729,-104.384671,"Sheridan, MT"
Hope,47.368352,-97.640306,"Steele, ND"
